tazobactam,fraction #,ODf,ff,fi,replicate,dilution,ampicillin
69.8,3,1.39901963266,0.926949539082,0.198413361225,0,100.0,5.0
69.8,4,1.37229772275,0.911200709301,0.264396162462,0,100.0,5.0
69.8,5,1.39075788829,0.88259329157,0.3370479041,0,100.0,5.0
69.8,6,1.60876108434,0.750730853784,0.418670161771,0,100.0,5.0
69.8,7,1.47932882543,0.655880926997,0.498534234666,0,100.0,5.0
69.8,8,1.42611809247,0.608199677906,0.612826031436,0,100.0,5.0
69.8,9,1.72288469659,0.659586095915,0.726062333201,0,100.0,5.0
69.8,10,1.77502553391,0.744374041375,0.825805326019,0,100.0,5.0
69.8,11,1.5880968822,0.990138371042,0.990643791637,0,100.0,5.0
118.6,0,0.0806685150149,,-0.000121274661233,0,100.0,5.0
118.6,1,1.34191918995,0.972312062107,0.0580629825486,0,100.0,5.0
118.6,2,1.32990088307,0.9544009318,0.115312456098,0,100.0,5.0
118.6,3,1.31201308864,0.969989852303,0.198413361225,0,100.0,5.0
118.6,4,1.23826918844,0.939934934082,0.264396162462,0,100.0,5.0
118.6,5,1.31795721859,0.947563404366,0.3370479041,0,100.0,5.0
118.6,6,1.49232151236,0.943403722039,0.418670161771,0,100.0,5.0
118.6,7,1.60645406611,,0.498534234666,0,100.0,5.0
118.6,8,1.49232151236,0.950963928575,0.612826031436,0,100.0,5.0
118.6,9,1.59496030747,0.915013714429,0.726062333201,0,100.0,5.0
118.6,10,1.51417298424,0.87939901063,0.825805326019,0,100.0,5.0
118.6,11,1.63432264486,0.98954714623,0.990643791637,0,100.0,5.0
201.6,0,0.0486091984323,,-0.000121274661233,0,100.0,5.0
201.6,1,1.60184831594,0.976903109199,0.0580629825486,0,100.0,5.0
201.6,2,1.51417298424,0.979492922647,0.115312456098,0,100.0,5.0
201.6,3,1.52298357234,0.978853470175,0.198413361225,0,100.0,5.0
201.6,4,1.39488432381,0.975907473333,0.264396162462,0,100.0,5.0
